Site,conductivity,dams,dom.substrate,prop.org.subst,prop.large.subst,prop.sm.subst,TDS,WBType
SACONO-03,17.5,2,F - Silt or fine powdery inorganic material,0,0.75,0.25,12.5,LakePond
SACOSO,61.1,2,"G - Gravel 0.6-2.5""",0.2,0.5,0.3,43.4,StreamRiver
SEBAGO-01,60.5,0,M - Mud or decomposed organic material,0.6,0,0.4,42.9,LakePond
SEBAGO-03,107.8,0,"P - Pea gravel 0.3-0.6""",0.4,0.6,0,76.5,LakePond
SEBAGO-04,78.8,1,M - Mud or decomposed organic material,1,0,0,55.7,LakePond
SEBAGO-06,146.8,1,F - Silt or fine powdery inorganic material,0,0,1,105,LakePond
SFALLS,139.8,0,"S - Sand or granular material <1/16""",0,0,1,95,StreamRiver
SHEPR,61.7,0,"S - Sand or granular material <1/16""",0.05,0,0.95,43.8,StreamRiver
SOKOLK-01,96.3,2,"S - Sand or granular material <1/16""",0.2,0.3,0.5,68.3,LakePond
SOKOLK-02,112.3,0,"O - Cobble rocks 2.5-10""",0.3,0,0.7,79.7,LakePond
SOKOLK-03,102.4,0,M - Mud or decomposed organic material,0.2,0.2,0.6,73,LakePond
SOPER,70.2,0,"D - Detritus or large particles of organic material such as leaves, bark, sawdust, etc.",1,0,0,49.9,StreamRiver
SPECPD,54.7,6,"D - Detritus or large particles of organic material such as leaves, bark, sawdust, etc.",0.9,0.1,0,40.1,LakePond
STANPD-01,61.5,2,"G - Gravel 0.6-2.5""",0.1,0.6,0.3,43.6,LakePond
STANPD-02,74.8,4,"D - Detritus or large particles of organic material such as leaves, bark, sawdust, etc.",1,0,0,53.1,LakePond
STANPD-03,67.8,4,"D - Detritus or large particles of organic material such as leaves, bark, sawdust, etc.",1,0,0,NA,LakePond
SYMMES-01,63.5,2,M - Mud or decomposed organic material,1,0,0,45.1,LakePond
SYMMES-02,62.7,2,M - Mud or decomposed organic material,0.9,0.09,0.01,44.7,LakePond
TRAFPD-01,56.2,1,"D - Detritus or large particles of organic material such as leaves, bark, sawdust, etc.",0.7,0,0.3,39.9,LakePond
TRAFPD-02,56.2,1,"D - Detritus or large particles of organic material such as leaves, bark, sawdust, etc.",1,0,0,NA,LakePond
WATBRK,138,1,"G - Gravel 0.6-2.5""",0.9,0.09,0.01,98.1,StreamRiver
